lon,lat,ROUTE_NUMBER,DIRECTION,BUS_STOP_ORDER_NUM,BUS_STOP_NUM_1,Current_Stop,BUS_STOP_SUB_NUM_2,BUS_STOP_NUM_2,Next_Stop,PLANNED_ROAD,REAL_ROAD,DELAY,VEHICLE_NUMBER,Current_Time,Current_Day,Current_Hour,Current_Minutes,Current_Seconds
21.24126,48.9921,23,P,2,2,Na Hlavnej,1,531,Okružná,800,611,-155,403,1611946554312,29,19,55,54
21.24102,48.99231,29,P,8,532,Floriánova,2,531,Okružná,540,540,-50,380,1611985376176,30,6,42,56
21.24135,48.99196,29,P,9,531,Okružná,1,114,Grešova,500,150,-30,380,1611985391179,30,6,43,11
21.2411,48.99208,29,P,8,532,Floriánova,2,531,Okružná,540,540,114,380,1611988077377,30,7,27,57
21.24137,48.99209,23,P,2,2,Na Hlavnej,1,531,Okružná,800,588,81,402,1611990988577,30,8,16,28
21.24123,48.99195,29,P,9,531,Okružná,1,114,Grešova,500,163,82,380,1611991753988,30,8,29,13
21.24115,48.99199,29,P,9,531,Okružná,1,114,Grešova,500,150,51,400,1611995370870,30,9,29,30
21.31899,48.9778,46,P,9,72,Záhradky,1,68,Pri zámočku,2400,2368,-98,408,1611849620198,28,17,0,20
21.24109,48.99204,29,P,9,531,Okružná,1,114,Grešova,500,150,-15,380,1611999047665,30,10,30,47
21.24107,48.99219,29,P,9,531,Okružná,1,114,Grešova,500,140,12,400,1612002619361,30,11,30,19
21.2415,48.99208,23,P,2,2,Na Hlavnej,1,531,Okružná,800,578,41,402,1612005440673,30,12,17,20
21.24145,48.99197,29,P,9,531,Okružná,1,114,Grešova,500,177,-18,380,1612006266057,30,12,31,6
21.24105,48.99232,29,P,9,531,Okružná,1,114,Grešova,500,122,-17,380,1612006251051,30,12,30,51
21.3185,48.9778,46,T,3,69,Na Záhumní,0,68,Pri zámočku,361,361,-83,408,1611850700160,28,17,18,20
21.31896,48.9778,46,P,9,72,Záhradky,1,68,Pri zámočku,2400,2274,-69,352,1611856775344,28,18,59,35
21.31896,48.97781,46,P,9,72,Záhradky,1,68,Pri zámočku,2400,2400,-62,352,1611856790336,28,18,59,50
21.31915,48.97779,46,P,9,72,Záhradky,1,68,Pri zámočku,2400,2243,-284,404,1611846200056,28,16,3,20
21.3192,48.97779,46,P,9,72,Záhradky,1,68,Pri zámočku,2400,2253,-297,404,1611846215041,28,16,3,35
21.31883,48.97782,46,T,3,69,Na Záhumní,0,68,Pri zámočku,361,361,-104,404,1611847130087,28,16,18,50
21.24091,48.99248,29,P,9,531,Okružná,1,114,Grešova,500,100,106,378,1613823324593,20,13,15,24
21.2412,48.99223,23,P,2,2,Na Hlavnej,1,531,Okružná,800,677,-48,385,1613826371239,20,14,6,11
21.24109,48.99212,29,P,9,531,Okružná,1,114,Grešova,500,140,58,378,1613902592128,21,11,16,32
21.24113,48.9921,29,P,9,531,Okružná,1,114,Grešova,500,127,92,378,1613895358709,21,9,15,58
21.24131,48.99214,23,P,2,2,Na Hlavnej,1,531,Okružná,800,644,0,385,1613898315106,21,10,5,15
21.24139,48.99198,29,P,9,531,Okružná,1,114,Grešova,500,177,-172,397,1613064836049,11,18,33,56
21.24112,48.99207,29,P,9,531,Okružná,1,114,Grešova,500,154,-114,366,1613805556115,20,8,19,16
21.24102,48.99239,29,P,9,531,Okružná,1,114,Grešova,500,127,-97,366,1613819932889,20,12,18,52
21.24137,48.99198,29,P,9,531,Okružná,1,114,Grešova,500,177,-101,366,1613819947896,20,12,19,7
21.24095,48.99246,29,P,9,531,Okružná,1,114,Grešova,500,118,-108,366,1613805541115,20,8,19,1
21.24097,48.9924,29,P,9,531,Okružná,1,114,Grešova,500,104,1,378,1613809022811,20,9,17,2
21.31905,48.97781,46,P,9,72,Záhradky,1,68,Pri zámočku,2400,2201,8,400,1611921497737,29,12,58,17
21.31913,48.97778,46,P,9,72,Záhradky,1,68,Pri zámočku,2400,2400,23,400,1611921512736,29,12,58,32
21.3193,48.9778,46,P,10,68,Pri zámočku,1,69,Na Záhumní,370,7,9,400,1611921527732,29,12,58,47
21.31923,48.97781,46,T,3,69,Na Záhumní,0,68,Pri zámočku,361,361,-115,400,1611922727757,29,13,18,47
21.31909,48.97781,46,T,4,68,Pri zámočku,0,72,Záhradky,2360,20,-129,400,1611922742762,29,13,19,2
