lon,lat,ROUTE_NUMBER,Trip,TripTime,vehicleID,lastStopOrder,lineID,lineType,DELAY,Current_Stop,Current_Stop_ID,Current_Time,Current_Day,Current_Hour,Current_Minutes,Current_Seconds,destination,Dir
21.08984,49.10369,708468,7,965,1007804682,1,1007040441,2,-353,"Sabinov,,AS",2316,1614092517429,23,16,1,57,"Olejníkov, Majdan, rázc.",1
21.20116,49.3121,701423,32,938,1007802805,41,1007040366,2,29,"Mokroluh, Jednota ",946,1614092547524,23,16,2,27,"Bardejov, AS",0
21.38139,48.91651,707403,54,940,1007803118,11,1007040396,2,-139,"Lesíček, č.d.41",1091,1614092547524,23,16,2,27,"Prešov, AS",0
21.13568,48.98019,707418,40,965,1007803424,1,1007040403,2,-269,"Kojatice,,Kojatická Dolina",2186,1614092547524,23,16,2,27,"Prešov, AS",0
21.25074,48.98462,707419,81,960,1007803537,1,1007040404,2,8,"Prešov,,AS ",2361,1614092547524,23,16,2,27,"Víťaz, kostol",1
21.21387,49.23052,701414,100,945,1007802631,29,1007040361,2,117,"Šiba, otoč.",817,1614092502431,23,16,1,42,"Bardejov, AS",0
21.14235,48.96115,707417,58,956,1007803390,21,1007040402,2,-60,Rokycany,651,1614092502431,23,16,1,42,"Prešov, AS",0
21.14235,48.96115,707417,58,956,1007803390,21,1007040402,2,-60,Rokycany,651,1614092532423,23,16,2,12,"Prešov, AS",0
21.08984,49.10369,708468,7,965,1007804682,1,1007040441,2,-353,"Sabinov,,AS",2316,1614092532423,23,16,2,12,"Olejníkov, Majdan, rázc.",1
21.31558,49.14978,701411,23,935,1007802506,24,1007040359,2,-17,"Raslavice, Hlavná",331,1614092547524,23,16,2,27,"Koprivnica, Jednota",1
21.2935,49.31503,701429,7,955,1007802921,4,1007040370,2,14,"Bardejov,Bas",83,1614092547524,23,16,2,27,"Svidník, AS",1
21.14235,48.96115,707417,58,956,1007803390,21,1007040402,2,-60,Rokycany,651,1614092547524,23,16,2,27,"Prešov, AS",0
21.22415,49.00044,707421,28,925,1007803549,38,1007040405,2,88,"Prešov, Levočská ul.",461,1614092547524,23,16,2,27,"Prešov, AS",0
